device_id,endurance,cost_perf,photo,performance,good_word,total_score
27749,0,0,0,0,续航出色(1),10
30953,0,0,0,0,续航出色(1),8
33061,0,0,0,0,"",0
33081,8,8,8,8,"",10
34522,0,0,0,0,"",0
36155,0,0,0,0,屏幕大(1),8
36158,5.5,5.5,5.5,5.5,"外观漂亮(1),信号好(1)",7.2
38836,0,0,0,0,"",0
38837,0,0,0,0,软件不错(1),6
39938,0,0,0,0,"",3
40175,0,0,0,0,"系统流畅(1),外观漂亮(1)",7.3
40249,0,0,0,0,"屏幕大(2),音色音质好(1),屏幕效果好(1),软件不错(1),价格便宜(1),系统流畅(1)",8
40250,0,0,0,0,"音色音质好(2),音乐播放效果出色(1)",9.5
46008,0,0,0,0,续航出色(1),8
46545,0,0,0,0,系统流畅(1),10
49120,0,0,0,0,"",0
50315,5.6,7.2,5.6,5.6,"外观漂亮(4),价格合理(2),软件不错(1),系统流畅(1),性价比高(1),价格便宜(1)",7.7
50318,7.7,7.7,7.7,6.1,"续航出色(2),电池容量大(1)",9.3
53204,8,8,8,8,"",10
53206,7.2,7.2,7.2,7.2,屏幕大(1),9
55350,0,0,0,0,续航出色(1),10
60336,0,0,0,0,系统流畅(1),10
60705,0,0,0,0,"",0
62184,0,0,0,0,"音色音质好(2),系统流畅(2),性价比高(2),续航出色(1),外观漂亮(1)",7.7
63521,0,0,0,0,机身小巧(1),10
64018,0,0,0,0,"",0
65845,0,0,0,0,"手感舒适(3),外观漂亮(2),机身轻薄(2),屏幕大(1),系统流畅(1),屏幕效果好(1),外观稳重(1)",7.7
66072,8,8,8,8,"",10
66688,0,0,0,0,"手感舒适(3),外观漂亮(2),机身轻薄(2),屏幕大(1),系统流畅(1),屏幕效果好(1),外观稳重(1)",7.7
67500,0,0,0,0,"",0
69999,0,0,0,0,"屏幕效果好(1),机身小巧(1)",8
70149,5.5,5.5,2.3,5.5,"",6.5
70150,0,0,0,0,"机身小巧(1),续航出色(1)",8
70457,0,0,0,0,"",7.7
